twitter_handle,first_name,last_name,name,position,party
amyklobuchar,Amy,Klobuchar,Amy Klobuchar,senator,D
BillCassidy,Bill,Cassidy,Bill Cassidy,senator,R
ChrisCoons,Chris,Coons,Chris Coons,senator,D
ChrisVanHollen,Chris,VanHollen,Chris VanHollen,senator,R
ChuckGrassley,Chuck,Grassley,Chuck Grassley,senator,R
GrahamBlog,Graham ,Blog,Graham  Blog,senator,R
JimInhofe,Jim,Inhofe,Jim Inhofe,senator,R
JeffFlake,Jeff,Flake,Jeff Flake,senator,R
JerryMoran,Jerry,Moran,Jerry Moran,senator,R
JohnBoozman,John,Boozman,John Boozman,senator,R
JohnCornyn,John,Cornyn,John Cornyn,senator,R
KamalaHarris,Kamala,Harris,Kamala Harris,senator,D
lisamurkowski,Lisa,Murkowski,Lisa Murkowski,senator,R
lutherstrange,Luther,Strange,Luther Strange,senator,R
MarkWarner,Mark,Warner,Mark Warner,senator,D
MartinHeinrich,Martin,Heinrich,Martin Heinrich,senator,D
maziehirono,Mazie,Hirono,Mazie Hirono,senator,D
McCaskillOffice,Claire,McCaskill,Claire McCaskill,senator,D
McConnellPress,Mitch,McConnell,Mitch McConnell,senator,R
MikeCrapo,Mike,Crapo,Mike Crapo,senator,R
PattyMurray,Patty,Murray,Patty Murray,senator,D
RandPaul,Rand,Paul,Rand Paul,senator,R
RonWyden,Ron,Wyden,Ron Wyden,senator,D
RoyBlunt,Roy,Blunt,Roy Blunt,senator,R
SenAlexander,Lamar,Alexander,Lamar Alexander,senator,R
SenAngusKing,Angus,Kind,Angus Kind,senator,I
SenatorBaldwin,Tammy,Baldwin,Tammy Baldwin,senator,D
SenatorBurr,Richard,Burr,Richard Burr,senator,R
SenatorCantwell,Murry,Cantwell,Murry Cantwell,senator,D
SenatorCardin,Ben,Cardin,Ben Cardin,senator,D
SenatorCarper,Tom,Carper,Tom Carper,senator,D
SenatorCollins,Suzan,Collins,Suzan Collins,senator,R
SenatorDurbin,Dick,Durbin,Dick Durbin,senator,D
SenatorEnzi,Mike,Enzi,Mike Enzi,senator,R
SenatorFischer,Deb,Fischer,Deb Fischer,senator,R
SenatorHassan,Maggie,Hassan,Maggie Hassan,senator,D
SenatorHeitkamp,Heidi,Heitkamp,Heidi Heitkamp,senator,D
SenatorIsakson,Johnny,Isakson,Johnny Isakson,senator,R
SenatorLankford,James,Lankford,James Lankford,senator,R
SenatorLeahy,Patrick,Leahy,Patrick Leahy,senator,D
SenatorMenendez,Bob,Menendez,Bob Menendez,senator,D
SenatorRisch,James,Risch,James Risch,senator,R
SenatorRounds,Mike,Rounds,Mike Rounds,senator,R
SenatorShaheen,Jeanne,Shaheen,Jeanne Shaheen,senator,R
SenatorTester,Jon,Tester,Jon Tester,senator,D
SenatorTimScott,Tim,Scott,Tim Scott,senator,R
SenatorTomUdall,Tom,Udall,Tom Udall,senator,D
SenatorWicker,Roger,Wicker,Roger Wicker,senator,R
SenBennetCO,Micheal,Bennet,Micheal Bennet,senator,D
SenBillNelson,Bill,Nelson,Bill Nelson,senator,D
SenBlumenthal,Richard,Blumenthal,Richard Blumenthal,senator,D
SenBobCasey,Bob,Casey,Bob Casey,senator,D
SenBobCorker,Bob,Corker,Bob Corker,senator,R
CoryBooker,Cory,Booker,Cory Booker,senator,D
SenBrianSchatz,Brian,Schatz,Brian Schatz,senator,D
SenCapito,Shelley,Capito,Shelley Capito,senator,R
SenCortezMasto,Catherine,CortezMasto,Catherine CortezMasto,senator,D
SenCoryGardner,Cory,Gardner,Cory Gardner,senator,R
SenDanSullivan,Dan,Sullivan,Dan Sullivan,senator,R
sendavidperdue,Devid,Perdue,Devid Perdue,senator,R
SenDeanHeller,Dean,Heller,Dean Heller,senator,R
SenDonnelly,Joe,Donnelly,Joe Donnelly,senator,D
SenDuckworth,Tammy,Duckworth,Tammy Duckworth,senator,D
SenFeinstein,Dianne,Feinstein,Dianne Feinstein,senator,D
SenFranken,Al,Franken,Al Franken,senator,D
SenGaryPeters,Gary,Peters,Gary Peters,senator,D
SenGillibrand,Kristen,Gillibrand,Kristen Gillibrand,senator,D
SenJackReed,Jack,Reed,Jack Reed,senator,D
SenJeffMerkley,Jeff,Merkley,Jeff Merkley,senator,D
Sen_JoeManchin,Joe,Manchin,Joe Manchin,senator,D
SenJohnBarrasso,John,Barrasso,John Barrasso,senator,R
SenJohnHoeven,John,Hoeven,John Hoeven,senator,R
SenJohnKennedy,John,Kennedy,John Kennedy,senator,R
SenJohnMcCain,John,McCain,John McCain,senator,R
SenJohnThune,John,Thune,John Thune,senator,R
SenJoniErnst,Joni,Ernst,Joni Ernst,senator,R
timkaine,Tim,Kaine,Tim Kaine,senator,R
SenMarkey,Ed,Markey,Ed Markey,senator,D
SenMikeLee,Mike,Lee,Mike Lee,senator,D
SenMurphyOffice,Chris,Murphy,Chris Murphy,senator,D
senorrinhatch,Orrin,Hatch,Orrin Hatch,senator,R
SenPatRoberts,Pat,Roberts,Pat Roberts,senator,R
senrobportman,Rob,Portman,Rob Portman,senator,R
SenRonJohnson,Ron,Johnson,Ron Johnson,senator,R
SenRubioPress,Marco,Rubio,Marco Rubio,senator,R
SenSanders,Bernie,Sanders,Bernie Sanders,senator,I
SenSasse,Benjamin,Sasse,Benjamin Sasse,senator,R
SenSchumer,Chuck,Schumer,Chuck Schumer,senator,D
SenShelby,Richard,Shelby,Richard Shelby,senator,R
SenSherrodBrown,Sherrod,Brown,Sherrod Brown,senator,D
SenStabenow,Debbie,Stabenow,Debbie Stabenow,senator,D
SenTedCruz,Ted,Cruz,Ted Cruz,senator,R
SenThadCochran,Thad,Cochran,Thad Cochran,senator,R
SenThomTillis,Thom,Tillis,Thom Tillis,senator,D
SenToddYoung,Todd,Young,Todd Young,senator,R
SenTomCotton,Tom,Cotton,Tom Cotton,senator,R
SenToomey,Pat,Toomey,Pat Toomey,senator,R
SenWarren,Elizabeth,Warren,Elizabeth Warren,senator,D
SenWhitehouse,Sheldon,Whitehouse,Sheldon Whitehouse,senator,D
SteveDaines,Steve,Daines,Steve Daines,senator,R
realDonaldTrump,Trump,Donald J. ,Trump Donald J. ,president,R
BarackObama,Obama,Barack,Obama Barack,president,D
GeorgeHWBush,Bush,George ,Bush George ,president,R
HillaryClinton,Clinton,Hillary,Clinton Hillary,secretary of state,D
BillClinton,Clinton,Bill ,Clinton Bill ,president ,D
JoeBiden,Biden,Joe,Biden Joe,vice president,D
SpeakerRyan,Ryan,Paul,Ryan Paul,representative,R
NancyPelosi,Pelosi,Nancy,Pelosi Nancy,representative,D
mike_pence,Pence,Mike,Pence Mike,vice president,R